vertices;aristas;n;k;metodo;tiempo
[1...8];[(1, 3), (1, 2), (2, 6), (4, 6), (6, 7), (7, 8)];6;2;BipartiteSubsetBF;5.080000264570117e-05
[1...8];[(1, 3), (1, 2), (2, 6), (4, 6), (6, 7), (7, 8)];6;2;BipartiteSubsetDC;4.840000183321535e-05
[1...8];[(1, 3), (1, 2), (2, 6), (4, 6), (6, 7), (7, 8)];6;2;BipartiteSubsetBT;0.0008073600009083747
[1...2];[];0;0;BipartiteSubsetBF;4.98599954880774e-05
[1...2];[];0;0;BipartiteSubsetDC;4.640000406652689e-05
[1...2];[];0;0;BipartiteSubsetBT;2.8979999478906392e-05
[1...7];[(1, 5), (1, 4), (1, 3), (1, 6), (2, 7), (2, 4), (2, 3), (3, 7), (3, 4), (3, 6), (3, 5), (4, 5), (4, 6), (4, 7), (5, 7), (5, 6), (6, 7)];17;13;BipartiteSubsetBF;0.21014499999582767
[1...7];[(1, 5), (1, 4), (1, 3), (1, 6), (2, 7), (2, 4), (2, 3), (3, 7), (3, 4), (3, 6), (3, 5), (4, 5), (4, 6), (4, 7), (5, 7), (5, 6), (6, 7)];17;13;BipartiteSubsetDC;0.06088222000398673
[1...7];[(1, 5), (1, 4), (1, 3), (1, 6), (2, 7), (2, 4), (2, 3), (3, 7), (3, 4), (3, 6), (3, 5), (4, 5), (4, 6), (4, 7), (5, 7), (5, 6), (6, 7)];17;13;BipartiteSubsetBT;TIMEOUT
[1...4];[(1, 3), (2, 4), (3, 4)];3;1;BipartiteSubsetBF;6.714000483043492e-05
[1...4];[(1, 3), (2, 4), (3, 4)];3;1;BipartiteSubsetDC;3.687999560497701e-05
[1...4];[(1, 3), (2, 4), (3, 4)];3;1;BipartiteSubsetBT;0.0007229799986816943
[1...3];[(1, 3)];1;1;BipartiteSubsetBF;4.723999882116914e-05
[1...3];[(1, 3)];1;1;BipartiteSubsetDC;3.6120001459494234e-05
[1...3];[(1, 3)];1;1;BipartiteSubsetBT;0.0007525800028815866
[1...8];[(1, 2), (1, 5), (1, 4), (1, 6), (1, 8), (1, 3), (1, 7), (2, 5), (2, 8), (2, 7), (2, 6), (2, 3), (2, 4), (3, 5), (3, 7), (3, 8), (3, 6), (3, 4), (4, 8), (4, 7), (4, 5), (4, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)];27;8;BipartiteSubsetBF;0.006092059996444732
[1...8];[(1, 2), (1, 5), (1, 4), (1, 6), (1, 8), (1, 3), (1, 7), (2, 5), (2, 8), (2, 7), (2, 6), (2, 3), (2, 4), (3, 5), (3, 7), (3, 8), (3, 6), (3, 4), (4, 8), (4, 7), (4, 5), (4, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)];27;8;BipartiteSubsetDC;TIMEOUT
[1...8];[(1, 2), (1, 5), (1, 4), (1, 6), (1, 8), (1, 3), (1, 7), (2, 5), (2, 8), (2, 7), (2, 6), (2, 3), (2, 4), (3, 5), (3, 7), (3, 8), (3, 6), (3, 4), (4, 8), (4, 7), (4, 5), (4, 6), (5, 6), (5, 7), (5, 8), (6, 8), (7, 8)];27;8;BipartiteSubsetBT;0.0025634000019636007
[1...8];[(1, 8), (1, 6), (2, 4), (2, 3), (3, 4), (4, 6), (6, 7)];7;3;BipartiteSubsetBF;0.0008791000058408826
[1...8];[(1, 8), (1, 6), (2, 4), (2, 3), (3, 4), (4, 6), (6, 7)];7;3;BipartiteSubsetDC;0.005949699989287183
[1...8];[(1, 8), (1, 6), (2, 4), (2, 3), (3, 4), (4, 6), (6, 7)];7;3;BipartiteSubsetBT;0.0015748800069559366
[1...3];[];0;0;BipartiteSubsetBF;4.954000469297171e-05
[1...3];[];0;0;BipartiteSubsetDC;4.594000056385994e-05
[1...3];[];0;0;BipartiteSubsetBT;1.2380001135170459e-05
[1...5];[(1, 4), (1, 2), (1, 5), (2, 3), (2, 5), (3, 4)];6;2;BipartiteSubsetBF;4.748000646941364e-05
[1...5];[(1, 4), (1, 2), (1, 5), (2, 3), (2, 5), (3, 4)];6;2;BipartiteSubsetDC;4.047999973408878e-05
[1...5];[(1, 4), (1, 2), (1, 5), (2, 3), (2, 5), (3, 4)];6;2;BipartiteSubsetBT;0.0006172600027639419
[1...7];[(1, 3), (1, 2), (1, 4), (2, 3), (2, 5), (2, 7), (4, 6), (6, 7)];8;0;BipartiteSubsetBF;5.4720009211450814e-05
[1...7];[(1, 3), (1, 2), (1, 4), (2, 3), (2, 5), (2, 7), (4, 6), (6, 7)];8;0;BipartiteSubsetDC;3.4979998599737885e-05
[1...7];[(1, 3), (1, 2), (1, 4), (2, 3), (2, 5), (2, 7), (4, 6), (6, 7)];8;0;BipartiteSubsetBT;1.3699999544769526e-05
