seed;vertices;aristas;n;k;tiempo BF;ops BF;tiempo DC;ops DC;tiempo BT;ops BT
215;[1...1];[];0;0;0.000073;3;0.000046;0;0.000025;0
216;[1...4];[(1, 2), (1, 3), (2, 3), (2, 4), (3, 4)];5;1;0.000072;6;0.000049;0;0.000033;0
217;[1...5];[(1, 5), (1, 3), (2, 3)];3;1;0.000119;7;0.000067;0;0.000026;0
218;[1...5];[(2, 4), (4, 5)];2;0;0.000067;7;0.000070;0;0.000023;0
219;[1...6];[(3, 6)];1;1;0.000070;8;0.000052;0;0.000061;0
220;[1...4];[(1, 4), (1, 3), (2, 3), (2, 4), (3, 4)];5;1;0.000072;6;0.000049;0;0.000021;0
221;[1...4];[(1, 4), (1, 3), (2, 3)];3;0;0.000069;6;0.000049;0;0.000024;0
222;[1...2];[];0;0;0.000080;4;0.000055;0;0.000023;0
223;[1...6];[(1, 5), (1, 3), (1, 2), (1, 6), (2, 4), (2, 6), (2, 3), (3, 5), (3, 6), (4, 5), (4, 6)];11;7;0.006396;225;0.043226;1970;0.004974;28
224;[1...2];[];0;0;0.000066;4;0.000044;0;0.000026;0
225;[1...4];[(1, 3)];1;0;0.000062;6;0.000049;0;0.000024;0
226;[1...8];[(1, 7)];1;0;0.000068;10;0.000050;0;0.000024;0
227;[1...7];[(1, 4), (1, 3), (1, 6), (1, 5), (1, 7), (1, 2), (2, 4), (2, 7), (2, 6), (2, 5), (2, 3), (3, 7), (3, 6), (3, 5), (3, 4), (4, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)];21;11;1.231635;329472;6.202729;221515;0.052032;1152
228;[1...4];[(1, 3), (1, 2), (2, 3), (2, 4)];4;1;0.000061;6;0.000061;0;0.000025;0
229;[1...9];[(2, 8), (2, 5), (3, 5), (3, 6), (3, 4), (5, 7), (5, 9), (7, 9)];8;3;0.003710;14;0.012087;415;0.003693;15
230;[1...3];[(1, 2), (2, 3)];2;2;0.000070;5;0.000060;0;0.000022;0
231;[1...1];[];0;0;0.000059;3;0.000050;0;0.000026;0
232;[1...5];[(1, 3)];1;0;0.000072;7;0.000057;0;0.000023;0
233;[1...3];[(2, 3)];1;1;0.000075;5;0.000049;0;0.000024;0
234;[1...6];[(1, 5), (1, 6), (2, 4), (2, 6), (2, 5), (2, 3), (3, 4), (4, 6)];8;0;0.000080;8;0.000050;0;0.000026;0
